task_run__calibration,task_run__created,task_run__finish_time,task_run__id,task_run__info,task_run__project_id,task_run__task_id,task_run__timeout,task_run__user_id,task_run__user_ip,task_runinfo__category,task_runinfo__task_id,task_runinfo__tweet_id_tweet
None,2016-08-11T14:42:52.184193,2016-08-11T14:43:04.036076,14870,"{""category"": ""7"", ""tweet_id_tweet"": ""453703577467236353"", ""task_id"": 15402}",62,15402,None,2,None,7,15402,4.54E+17
None,2016-08-11T14:42:52.384860,2016-08-11T14:43:13.588685,14871,"{""category"": ""7"", ""tweet_id_tweet"": ""453999876645613568"", ""task_id"": 15403}",62,15403,None,2,None,7,15403,4.54E+17
None,2016-08-11T14:43:04.261535,2016-08-11T14:43:18.547018,14872,"{""category"": ""7"", ""tweet_id_tweet"": ""454683995674931200"", ""task_id"": 15404}",62,15404,None,2,None,7,15404,4.55E+17
None,2016-08-11T14:43:13.806252,2016-08-11T14:43:25.596795,14873,"{""category"": ""7"", ""tweet_id_tweet"": ""455082427174494208"", ""task_id"": 15405}",62,15405,None,2,None,7,15405,4.55E+17
None,2016-08-11T14:43:18.768706,2016-08-11T14:43:32.964648,14874,"{""category"": ""5"", ""tweet_id_tweet"": ""451436824800792576"", ""task_id"": 15406}",62,15406,None,2,None,5,15406,4.51E+17
None,2016-08-11T14:43:25.816050,2016-08-11T14:43:40.034481,14875,"{""category"": ""4"", ""tweet_id_tweet"": ""451234570277752832"", ""task_id"": 15407}",62,15407,None,2,None,4,15407,4.51E+17
None,2016-08-19T13:16:43.675780,2016-08-19T13:19:08.543398,14876,"{""category"": ""7"", ""tweet_id_tweet"": ""453703577467236353"", ""task_id"": 15402}",62,15402,None,None,191.126.42.124,7,15402,4.54E+17
None,2016-08-19T13:16:43.979240,2016-08-19T13:19:19.889330,14877,"{""category"": ""7"", ""tweet_id_tweet"": ""453999876645613568"", ""task_id"": 15403}",62,15403,None,None,191.126.42.124,7,15403,4.54E+17
None,2016-08-19T13:19:08.934740,2016-08-19T13:19:22.449235,14878,"{""category"": ""7"", ""tweet_id_tweet"": ""454683995674931200"", ""task_id"": 15404}",62,15404,None,None,191.126.42.124,7,15404,4.55E+17
None,2016-08-19T13:19:20.292415,2016-08-19T13:19:30.555299,14879,"{""category"": ""7"", ""tweet_id_tweet"": ""455082427174494208"", ""task_id"": 15405}",62,15405,None,None,191.126.42.124,7,15405,4.55E+17
None,2016-08-19T13:33:10.863565,2016-08-19T13:33:43.398321,14880,"{""category"": ""7"", ""tweet_id_tweet"": ""453703577467236353"", ""task_id"": 15402}",62,15402,None,None,200.54.73.165,7,15402,4.54E+17
None,2016-08-19T13:33:11.060805,2016-08-19T13:33:54.408288,14881,"{""category"": ""7"", ""tweet_id_tweet"": ""453999876645613568"", ""task_id"": 15403}",62,15403,None,None,200.54.73.165,7,15403,4.54E+17
None,2016-08-19T13:33:43.606797,2016-08-19T13:34:00.520510,14882,"{""category"": ""7"", ""tweet_id_tweet"": ""454683995674931200"", ""task_id"": 15404}",62,15404,None,None,200.54.73.165,7,15404,4.55E+17
None,2016-08-19T13:33:54.636963,2016-08-19T13:34:07.550495,14883,"{""category"": ""7"", ""tweet_id_tweet"": ""455082427174494208"", ""task_id"": 15405}",62,15405,None,None,200.54.73.165,7,15405,4.55E+17
None,2016-08-19T13:34:00.744701,2016-08-19T13:34:23.407343,14884,"{""category"": ""6"", ""tweet_id_tweet"": ""451436824800792576"", ""task_id"": 15406}",62,15406,None,None,200.54.73.165,6,15406,4.51E+17
None,2016-08-19T13:34:07.787717,2016-08-19T13:34:33.152692,14885,"{""category"": ""4"", ""tweet_id_tweet"": ""451234570277752832"", ""task_id"": 15407}",62,15407,None,None,200.54.73.165,4,15407,4.51E+17
None,2016-09-01T20:13:50.473244,2016-09-01T20:41:33.259448,16803,"{""category"": ""1,7"", ""tweet_id_tweet"": ""451436824800792576"", ""task_id"": 15406}",62,15406,None,22,None,"1,7",15406,4.51E+17
None,2016-09-01T20:13:50.706673,2016-09-01T20:41:40.659287,16804,"{""category"": ""6"", ""tweet_id_tweet"": ""451234570277752832"", ""task_id"": 15407}",62,15407,None,22,None,6,15407,4.51E+17
None,2016-09-01T20:41:33.921981,2016-09-01T20:41:48.807609,16805,"{""category"": ""7"", ""tweet_id_tweet"": ""452292962970398722"", ""task_id"": 15408}",62,15408,None,22,None,7,15408,4.52E+17
None,2016-09-01T20:41:40.864180,2016-09-01T20:41:55.732069,16806,"{""category"": ""5"", ""tweet_id_tweet"": ""451500606096556032"", ""task_id"": 15409}",62,15409,None,22,None,5,15409,4.52E+17
None,2016-09-01T20:41:49.068750,2016-09-01T20:42:02.813184,16807,"{""category"": ""2"", ""tweet_id_tweet"": ""451561217190932480"", ""task_id"": 15410}",62,15410,None,22,None,2,15410,4.52E+17
None,2016-09-01T20:41:55.944842,2016-09-01T20:42:09.161911,16808,"{""category"": ""6"", ""tweet_id_tweet"": ""451348579115081728"", ""task_id"": 15411}",62,15411,None,22,None,6,15411,4.51E+17
None,2016-09-01T20:42:03.019377,2016-09-01T20:42:21.808260,16809,"{""category"": ""1"", ""tweet_id_tweet"": ""453312240528424960"", ""task_id"": 15412}",62,15412,None,22,None,1,15412,4.53E+17
None,2016-09-01T20:42:09.389659,2016-09-01T20:42:31.739477,16810,"{""category"": ""6"", ""tweet_id_tweet"": ""451557534089113600"", ""task_id"": 15413}",62,15413,None,22,None,6,15413,4.52E+17
None,2016-09-01T20:42:22.022308,2016-09-01T20:42:39.407379,16811,"{""category"": ""2"", ""tweet_id_tweet"": ""451342225847631872"", ""task_id"": 15414}",62,15414,None,22,None,2,15414,4.51E+17
None,2016-09-01T20:42:31.947619,2016-09-01T20:42:52.586359,16812,"{""category"": ""7"", ""tweet_id_tweet"": ""451385633341448192"", ""task_id"": 15415}",62,15415,None,22,None,7,15415,4.51E+17
None,2016-09-01T20:42:39.625110,2016-09-01T20:43:00.955717,16813,"{""category"": ""6"", ""tweet_id_tweet"": ""451698464724774913"", ""task_id"": 15416}",62,15416,None,22,None,6,15416,4.52E+17
None,2016-09-01T20:42:52.802784,2016-09-01T20:43:08.415644,16814,"{""category"": ""6"", ""tweet_id_tweet"": ""451555705062178816"", ""task_id"": 15417}",62,15417,None,22,None,6,15417,4.52E+17
None,2016-09-01T20:43:01.170403,2016-09-01T20:43:14.936574,16815,"{""category"": ""1"", ""tweet_id_tweet"": ""451449506928668672"", ""task_id"": 15418}",62,15418,None,22,None,1,15418,4.51E+17
None,2016-09-01T20:43:08.633108,2016-09-01T20:43:23.820637,16816,"{""category"": ""1"", ""tweet_id_tweet"": ""451578049847242752"", ""task_id"": 15419}",62,15419,None,22,None,1,15419,4.52E+17
None,2016-09-01T20:43:15.180860,2016-09-01T20:43:31.188196,16817,"{""category"": ""3"", ""tweet_id_tweet"": ""452822852040151040"", ""task_id"": 15420}",62,15420,None,22,None,3,15420,4.53E+17
None,2016-09-01T20:43:24.085940,2016-09-01T20:43:35.477570,16818,"{""category"": ""6"", ""tweet_id_tweet"": ""451374460353126400"", ""task_id"": 15421}",62,15421,None,22,None,6,15421,4.51E+17
None,2016-09-01T20:43:31.404180,2016-09-01T20:43:40.618552,16819,"{""category"": ""6"", ""tweet_id_tweet"": ""452280764038516737"", ""task_id"": 15422}",62,15422,None,22,None,6,15422,4.52E+17
None,2016-09-01T20:43:35.682288,2016-09-01T20:43:47.170672,16820,"{""category"": ""6"", ""tweet_id_tweet"": ""451566099918643203"", ""task_id"": 15423}",62,15423,None,22,None,6,15423,4.52E+17
None,2016-09-01T20:43:40.834101,2016-09-01T20:43:52.009382,16821,"{""category"": ""6"", ""tweet_id_tweet"": ""453798640293666816"", ""task_id"": 15424}",62,15424,None,22,None,6,15424,4.54E+17
None,2016-09-01T20:43:47.386932,2016-09-01T20:43:58.887199,16822,"{""category"": ""7"", ""tweet_id_tweet"": ""454240614255976448"", ""task_id"": 15425}",62,15425,None,22,None,7,15425,4.54E+17
None,2016-09-01T20:43:52.243942,2016-09-01T20:44:03.339556,16823,"{""category"": ""3"", ""tweet_id_tweet"": ""451433172522532865"", ""task_id"": 15426}",62,15426,None,22,None,3,15426,4.51E+17
None,2016-09-01T20:43:59.186089,2016-09-01T20:44:13.527678,16824,"{""category"": ""6"", ""tweet_id_tweet"": ""451345338515718146"", ""task_id"": 15427}",62,15427,None,22,None,6,15427,4.51E+17
None,2016-09-01T20:44:03.555450,2016-09-01T20:44:25.812805,16825,"{""category"": ""6"", ""tweet_id_tweet"": ""451857789380730881"", ""task_id"": 15428}",62,15428,None,22,None,6,15428,4.52E+17
None,2016-09-01T20:44:13.756933,2016-09-01T20:44:30.101518,16826,"{""category"": ""7"", ""tweet_id_tweet"": ""451705433074720768"", ""task_id"": 15429}",62,15429,None,22,None,7,15429,4.52E+17
None,2016-09-01T20:44:26.016240,2016-09-01T20:44:38.162684,16827,"{""category"": ""7"", ""tweet_id_tweet"": ""452090368142872576"", ""task_id"": 15430}",62,15430,None,22,None,7,15430,4.52E+17
None,2016-09-01T20:44:30.309879,2016-09-01T20:44:43.633595,16828,"{""category"": ""2"", ""tweet_id_tweet"": ""452849092797145088"", ""task_id"": 15431}",62,15431,None,22,None,2,15431,4.53E+17
None,2016-09-01T20:44:38.374585,2016-09-01T20:44:51.850829,16829,"{""category"": ""1"", ""tweet_id_tweet"": ""451356913507119105"", ""task_id"": 15432}",62,15432,None,22,None,1,15432,4.51E+17
None,2016-09-01T20:44:43.875315,2016-09-01T20:47:23.634279,16830,"{""category"": ""5"", ""tweet_id_tweet"": ""451459454840500224"", ""task_id"": 15433}",62,15433,None,22,None,5,15433,4.51E+17
None,2016-09-01T20:44:52.088281,2016-09-01T20:47:32.697375,16831,"{""category"": ""6"", ""tweet_id_tweet"": ""451558798214172672"", ""task_id"": 15434}",62,15434,None,22,None,6,15434,4.52E+17
None,2016-09-01T20:47:23.839011,2016-09-01T20:47:38.656381,16832,"{""category"": ""6"", ""tweet_id_tweet"": ""451947779301326848"", ""task_id"": 15435}",62,15435,None,22,None,6,15435,4.52E+17
None,2016-09-01T20:47:32.915384,2016-09-01T20:47:42.694907,16833,"{""category"": ""2"", ""tweet_id_tweet"": ""451767069647060992"", ""task_id"": 15436}",62,15436,None,22,None,2,15436,4.52E+17
None,2016-09-01T20:47:38.853673,2016-09-01T20:47:48.175579,16834,"{""category"": ""6"", ""tweet_id_tweet"": ""455081101154086912"", ""task_id"": 15437}",62,15437,None,22,None,6,15437,4.55E+17
None,2016-09-01T20:47:42.904933,2016-09-01T20:47:54.918328,16835,"{""category"": ""7"", ""tweet_id_tweet"": ""453661255534796800"", ""task_id"": 15438}",62,15438,None,22,None,7,15438,4.54E+17
None,2016-09-01T20:47:48.377102,2016-09-01T20:48:01.337395,16836,"{""category"": ""3"", ""tweet_id_tweet"": ""454335150956900352"", ""task_id"": 15439}",62,15439,None,22,None,3,15439,4.54E+17
None,2016-09-01T20:47:55.118239,2016-09-01T20:48:08.098197,16837,"{""category"": ""2"", ""tweet_id_tweet"": ""454259720711176192"", ""task_id"": 15440}",62,15440,None,22,None,2,15440,4.54E+17
None,2016-09-01T20:48:01.568771,2016-09-01T20:48:14.003616,16838,"{""category"": ""6"", ""tweet_id_tweet"": ""454326574167638016"", ""task_id"": 15441}",62,15441,None,22,None,6,15441,4.54E+17
None,2016-09-01T20:48:08.288448,2016-09-01T20:48:18.486535,16839,"{""category"": ""6"", ""tweet_id_tweet"": ""454439504926220288"", ""task_id"": 15442}",62,15442,None,22,None,6,15442,4.54E+17
None,2016-09-01T20:48:14.269758,2016-09-01T20:48:26.923276,16840,"{""category"": ""7"", ""tweet_id_tweet"": ""452211768363085824"", ""task_id"": 15443}",62,15443,None,22,None,7,15443,4.52E+17
None,2016-09-01T20:48:18.765235,2016-09-01T20:48:33.117813,16841,"{""category"": ""7"", ""tweet_id_tweet"": ""454516198500085762"", ""task_id"": 15444}",62,15444,None,22,None,7,15444,4.55E+17
None,2016-09-01T20:48:27.124224,2016-09-01T20:48:36.570859,16842,"{""category"": ""6"", ""tweet_id_tweet"": ""454285002750971904"", ""task_id"": 15445}",62,15445,None,22,None,6,15445,4.54E+17
None,2016-09-01T20:48:33.380423,2016-09-01T20:48:45.227783,16843,"{""category"": ""4"", ""tweet_id_tweet"": ""454045970049671168"", ""task_id"": 15446}",62,15446,None,22,None,4,15446,4.54E+17
None,2016-09-01T20:48:36.770658,2016-09-01T20:48:51.989033,16844,"{""category"": ""2"", ""tweet_id_tweet"": ""452532454398902274"", ""task_id"": 15447}",62,15447,None,22,None,2,15447,4.53E+17
None,2016-09-01T20:48:45.440284,2016-09-01T20:48:57.974841,16845,"{""category"": ""6"", ""tweet_id_tweet"": ""454419490021732353"", ""task_id"": 15448}",62,15448,None,22,None,6,15448,4.54E+17
None,2016-09-01T20:48:52.185629,2016-09-01T20:49:03.097892,16846,"{""category"": ""6"", ""tweet_id_tweet"": ""452160001256480768"", ""task_id"": 15449}",62,15449,None,22,None,6,15449,4.52E+17
None,2016-09-01T20:48:58.178256,2016-09-01T20:49:10.007738,16847,"{""category"": ""6"", ""tweet_id_tweet"": ""451362888012541952"", ""task_id"": 15450}",62,15450,None,22,None,6,15450,4.51E+17
None,2016-09-01T20:49:03.299520,2016-09-01T20:49:18.538670,16848,"{""category"": ""6"", ""tweet_id_tweet"": ""454330984436363264"", ""task_id"": 15451}",62,15451,None,22,None,6,15451,4.54E+17
None,2016-09-01T20:49:10.225865,2016-09-01T20:49:29.231987,16849,"{""category"": ""6"", ""tweet_id_tweet"": ""454633756016398336"", ""task_id"": 15452}",62,15452,None,22,None,6,15452,4.55E+17
None,2016-09-01T20:49:18.751997,2016-09-01T20:49:38.050724,16850,"{""category"": ""7"", ""tweet_id_tweet"": ""454625344327544832"", ""task_id"": 15453}",62,15453,None,22,None,7,15453,4.55E+17
None,2016-09-01T20:49:29.440015,2016-09-01T20:49:42.945157,16851,"{""category"": ""6"", ""tweet_id_tweet"": ""454652418634964992"", ""task_id"": 15454}",62,15454,None,22,None,6,15454,4.55E+17
None,2016-09-01T20:49:38.248017,2016-09-01T20:49:50.691081,16852,"{""category"": ""6"", ""tweet_id_tweet"": ""451361415857598464"", ""task_id"": 15455}",62,15455,None,22,None,6,15455,4.51E+17
None,2016-09-01T20:49:43.147714,2016-09-01T20:49:57.789266,16853,"{""category"": ""7"", ""tweet_id_tweet"": ""454038480536875008"", ""task_id"": 15456}",62,15456,None,22,None,7,15456,4.54E+17
